timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;hr3;rr5;spo2
11:19:26.462275;53;170622;132150;131511;206829;524159;524159;60.0;0.0;0.0
11:19:26.472540;54;170175;132064;131453;206572;524159;524159;60.0;0.0;0.0
11:19:26.482443;55;169973;132048;131435;206485;524159;524159;60.0;0.0;0.0
11:19:26.482443;56;169915;132049;131439;206503;524159;524159;60.0;0.0;0.0
11:19:26.492595;57;169961;132081;131456;206626;524159;524159;60.0;0.0;0.0
11:19:26.662542;58;170002;132090;131454;206753;524159;524159;60.0;0.0;0.0
11:19:26.672391;59;169948;132063;131437;206812;524159;524159;60.0;0.0;0.0
11:19:26.682207;60;169866;132055;131414;206831;524159;524159;60.0;0.0;0.0
11:19:26.692331;61;169871;132049;131411;206895;524159;524159;60.0;0.0;0.0
11:19:26.697338;62;169982;132073;131423;207049;524159;524159;60.0;0.0;0.0
11:19:26.862167;63;170163;132101;131450;207269;524159;524159;60.0;0.0;0.0
11:19:26.872209;64;170378;132126;131457;207533;524159;524159;60.0;0.0;0.0
11:19:26.872209;65;170584;132151;131469;207792;524159;524159;60.0;0.0;0.0
11:19:26.882627;66;170796;132160;131476;208049;524159;524159;60.0;0.0;0.0
11:19:26.897544;67;170983;132176;131478;208297;524159;524159;60.0;0.0;0.0
11:19:27.062395;68;171173;132194;131483;208544;524159;524159;60.0;0.0;0.0
11:19:27.072435;69;171396;132214;131494;208803;524159;524159;60.0;0.0;0.0
11:19:27.072435;70;171648;132241;131512;209102;524159;524159;60.0;0.0;0.0
11:19:27.082313;71;171898;132277;131533;209398;524159;524159;60.0;0.0;0.0
11:19:27.092386;72;172160;132314;131559;209708;524159;524159;60.0;0.0;0.0
11:19:27.262452;73;172459;132356;131577;210030;524159;524159;60.0;0.0;0.0
11:19:27.272327;74;172753;132384;131589;210348;524159;524159;60.0;0.0;0.0
11:19:27.272327;75;172870;132340;131555;210496;524159;524159;60.0;0.0;0.0
11:19:27.282206;76;172486;132152;131425;210216;524159;524159;60.0;0.0;0.0
11:19:27.292372;77;171967;132017;131336;209804;524159;524159;60.0;0.0;0.0
11:19:27.464466;78;171680;132003;131331;209563;524159;524159;60.0;0.0;0.0
11:19:27.472492;79;171595;132034;131332;209488;524159;524159;60.0;0.0;0.0
11:19:27.472492;80;171662;132070;131362;209542;524159;524159;60.0;0.0;0.0
11:19:27.492557;81;171824;132107;131394;209681;524159;524159;60.0;0.0;0.0
11:19:27.492557;82;171864;132111;131386;209735;524159;524159;60.0;0.0;0.0
11:19:27.662115;83;171807;132078;131362;209717;524159;524159;60.0;0.0;0.0
11:19:27.672342;84;171780;132071;131369;209719;524159;524159;60.0;719.0;0.0
11:19:27.682197;85;171870;132107;131391;209820;524159;524159;60.0;0.0;0.0
11:19:27.687204;86;172035;132150;131408;209999;524159;524159;60.0;0.0;0.0
11:19:27.692244;87;172238;132206;131439;210192;524159;524159;60.0;0.0;0.0
11:19:27.872197;88;172462;132235;131456;210425;524159;524159;60.0;0.0;0.0
11:19:27.882268;89;172687;132265;131478;210658;524159;524159;59.0;0.0;0.0
11:19:27.892473;90;172912;132293;131481;210885;524159;524159;59.0;0.0;0.0
11:19:27.892473;91;173118;132318;131497;211114;524159;524159;59.0;0.0;0.0
11:19:27.902406;92;173339;132341;131517;211350;524159;524159;59.0;0.0;0.0
11:19:28.062856;93;173587;132380;131529;211601;524159;524159;59.0;0.0;0.0
11:19:28.072403;94;173856;132408;131537;211876;524159;524159;59.0;0.0;0.0
11:19:28.077409;95;174144;132433;131570;212165;524159;524159;59.0;0.0;0.0
11:19:28.082439;96;174439;132473;131595;212472;524159;524159;59.0;0.0;0.0
11:19:28.092307;97;174743;132510;131613;212780;524159;524159;59.0;0.0;0.0
11:19:28.267427;98;175052;132538;131620;213085;524159;524159;59.0;0.0;0.0
11:19:28.272481;99;175119;132465;131570;213171;524159;524159;59.0;0.0;0.0
11:19:28.277488;100;174637;132258;131405;212806;524159;524159;59.0;0.0;0.0
11:19:28.292591;101;174061;132125;131322;212330;524159;524159;59.0;0.0;0.0
11:19:28.292591;102;173728;132102;131306;212042;524159;524159;59.0;0.0;0.0
11:19:28.467121;103;173598;132114;131317;211913;524159;524159;59.0;0.0;0.0
11:19:28.472163;104;173597;132135;131330;211896;524159;524159;59.0;0.0;0.0
11:19:28.472163;105;173670;132163;131359;211947;524159;524159;59.0;0.0;0.0
11:19:28.487369;106;173703;132173;131360;211987;524159;524159;59.0;0.0;0.0
11:19:28.492405;107;173621;132151;131333;211935;524159;524159;59.0;0.0;0.0
11:19:28.662158;108;173546;132138;131323;211897;524159;524159;59.0;0.0;0.0
11:19:28.672339;109;173580;132164;131344;211948;524159;524159;59.0;0.0;0.0
11:19:28.672339;110;173714;132204;131364;212074;524159;524159;59.0;0.0;0.0
11:19:28.682394;111;173900;132244;131385;212252;524159;524159;59.0;1043.0;0.0
11:19:28.692572;112;174083;132281;131412;212420;524159;524159;59.0;0.0;0.0
11:19:28.862319;113;174291;132306;131430;212596;524159;524159;59.0;0.0;0.0
11:19:28.872520;114;174481;132322;131437;212789;524159;524159;59.0;0.0;0.0
11:19:28.882347;115;174671;132344;131446;212971;524159;524159;59.0;0.0;0.0
