timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;hr3;rr5;spo2
11:27:56.812907;61;137010;122532;130666;176490;524159;524159;60.0;0.0;0.0
11:27:56.819644;62;136242;122501;130634;175920;524159;524159;60.0;0.0;0.0
11:27:56.991473;63;135798;122483;130609;175620;524159;524159;60.0;0.0;0.0
11:27:56.998699;64;135305;122418;130544;175298;524159;524159;60.0;0.0;0.0
11:27:57.005429;65;134638;122325;130469;174811;524159;524159;60.0;0.0;0.0
11:27:57.011923;66;133969;122245;130407;174281;524159;524159;60.0;0.0;0.0
11:27:57.019269;67;133499;122211;130378;173944;524159;524159;60.0;0.0;0.0
11:27:57.192184;68;133239;122206;130359;173817;524159;524159;60.0;0.0;0.0
11:27:57.201185;69;133155;122212;130357;173851;524159;524159;60.0;0.0;0.0
11:27:57.209180;70;133158;122221;130347;173973;524159;524159;60.0;0.0;0.0
11:27:57.213177;71;133201;122226;130336;174153;524159;524159;60.0;0.0;0.0
11:27:57.221171;72;133216;122231;130320;174319;524159;524159;60.0;0.0;0.0
11:27:57.392692;73;133228;122228;130312;174500;524159;524159;60.0;0.0;0.0
11:27:57.400689;74;133250;122227;130295;174688;524159;524159;60.0;0.0;0.0
11:27:57.410687;75;133277;122236;130293;174879;524159;524159;60.0;0.0;0.0
11:27:57.418682;76;133392;122243;130290;175129;524159;524159;60.0;0.0;0.0
11:27:57.421676;77;133551;122280;130302;175434;524159;524159;60.0;0.0;0.0
11:27:57.592108;78;133767;122322;130320;175786;524159;524159;60.0;0.0;0.0
11:27:57.603101;79;134025;122346;130324;176163;524159;524159;60.0;0.0;0.0
11:27:57.612096;80;133962;122259;130255;176255;524159;524159;60.0;0.0;0.0
11:27:57.621090;81;132787;121968;130037;175324;524159;524159;60.0;0.0;0.0
11:27:57.628085;82;131156;121701;129868;173922;524159;524159;60.0;0.0;0.0
11:27:57.795012;83;129907;121585;129788;172833;524159;524159;60.0;0.0;0.0
