*** New Session***
07-09-2021 11:57:42
Product Name: HRM_pro
5609187 : Search timeout
5609203 : Channel closed
5629953 : Channel closed
5661437 : Search timeout
5661437 : Channel closed
5685328 : Rx: [04][00][B6][25][A4][28][0B][4E]
5685578 : Rx: [04][00][B6][25][A4][28][0B][4E]
5685828 : Rx: [04][00][B6][25][A4][28][0B][4E]
5686062 : Rx: [84][00][A4][28][1B][2C][0C][4E]
5686312 : Rx fail
5686562 : Rx: [84][00][A4][28][1B][2C][0C][4E]
5686812 : Rx: [84][00][A4][28][1B][2C][0C][4E]
5687046 : Rx: [04][00][1B][2C][AF][2F][0D][4E]
5687296 : Rx fail
5687546 : Rx: [04][00][1B][2C][AF][2F][0D][4E]
5687796 : Rx fail
5688046 : Rx: [F9][43][F4][48][E6][32][0E][4E]
5688281 : Rx fail
5688531 : Rx: [84][00][AF][2F][E6][32][0E][4E]
5688781 : Rx fail
5689031 : Rx: [04][00][E6][32][F9][35][0F][4E]
5724000 : Rx: [84][00][0B][FE][F4][01][31][36]
5689265 : Rx: [04][00][E6][32][F9][35][0F][4E]
5689515 : Rx fail
5689765 : Rx: [04][00][F9][35][41][39][10][4D]
5690015 : Rx: [84][00][F9][35][41][39][10][4D]
5690250 : Rx fail
5690500 : Rx: [84][00][41][39][E3][3C][11][4B]
5690750 : Rx: [84][00][41][39][E3][3C][11][4B]
5691000 : Rx fail
5691234 : Rx: [01][AC][4E][62][BE][40][12][47]
5691484 : Rx: [01][AC][4E][62][BE][40][12][47]
5691734 : Rx: [01][AC][4E][62][BE][40][12][47]
5691984 : Rx: [84][00][E3][3C][BE][40][12][47]
5692218 : Rx fail
5692468 : Rx: [84][00][BE][40][8B][44][13][44]
5692718 : Rx: [84][00][BE][40][8B][44][13][44]
5692968 : Rx fail
5693203 : Rx: [04][00][8B][44][1D][48][14][41]
5693453 : Rx: [04][00][8B][44][1D][48][14][41]
5693703 : Rx: [04][00][8B][44][1D][48][14][41]
5693953 : Rx: [84][00][8B][44][1D][48][14][41]
5694203 : Rx: [84][00][1D][48][D3][4B][15][41]
5694437 : Rx: [F9][44][01][00][D3][4B][15][41]
5694687 : Rx: [84][00][1D][48][D3][4B][15][41]
5694937 : Rx: [04][00][1D][48][D3][4B][15][41]
5695187 : Rx: [04][00][D3][4B][3C][4F][16][42]
5695421 : Rx: [04][00][D3][4B][3C][4F][16][42]
5695671 : Rx: [04][00][D3][4B][3C][4F][16][42]
5695921 : Rx: [84][00][3C][4F][37][52][17][42]
5696171 : Rx: [84][00][3C][4F][37][52][17][42]
5696406 : Rx: [84][00][3C][4F][37][52][17][42]
5696656 : Rx: [84][00][37][52][44][55][18][43]
5696906 : Rx: [04][00][37][52][44][55][18][43]
5697156 : Rx fail
