timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;accelX;accelY;accelZ;hr3;rr5;rrsecure;spo2
08:32:21.598017;0;140216;31858;26006;135414;106604;106644;-0.508;-0.361;0.778;60.0;0.0;0;0.0
08:32:21.603218;1;228948;31851;26006;172908;237303;237357;-0.509;-0.366;0.778;60.0;0.0;0;0.0
08:32:21.607381;2;196408;31852;26005;146602;368448;368520;-0.508;-0.365;0.779;60.0;0.0;0;0.0
08:32:21.610378;3;182914;31849;26009;136492;493640;493692;-0.508;-0.368;0.778;60.0;0.0;0;0.0
08:32:21.613376;4;176145;31853;26009;131380;524159;524159;-0.508;-0.368;0.778;60.0;0.0;0;0.0
08:32:21.618370;5;169638;31858;26003;126463;524159;524159;-0.508;-0.365;0.781;60.0;0.0;0;0.0
08:32:21.621374;6;169674;31853;26001;126466;524159;524159;-0.508;-0.365;0.780;60.0;0.0;0;0.0
08:32:21.624369;7;169700;31856;26006;126472;524159;524159;-0.508;-0.364;0.780;60.0;0.0;0;0.0
08:32:21.627366;8;169737;31857;26001;126486;524159;524159;-0.508;-0.360;0.782;60.0;0.0;0;0.0
08:32:21.629365;9;169768;31861;26003;126493;524159;524159;-0.507;-0.364;0.780;60.0;0.0;0;0.0
08:32:21.632363;10;169790;31863;25999;126491;524159;524159;-0.508;-0.367;0.778;60.0;0.0;0;0.0
08:32:21.634362;11;169828;31867;25995;126504;524159;524159;-0.508;-0.366;0.778;60.0;0.0;0;0.0
08:32:21.637555;12;169841;62156;51357;126496;524159;524159;-0.508;-0.364;0.781;60.0;0.0;0;0.0
08:32:21.641565;13;169862;63757;51349;126501;524159;524159;-0.508;-0.369;0.781;60.0;0.0;0;0.0
08:32:21.644550;14;169868;63734;51340;126495;524159;524159;-0.508;-0.369;0.778;60.0;0.0;0;0.0
08:32:21.648548;15;169890;63699;51316;126468;524159;524159;-0.507;-0.362;0.781;60.0;0.0;0;0.0
08:32:21.650547;16;169907;63669;51303;126439;524159;524159;-0.508;-0.366;0.777;60.0;0.0;0;0.0
08:32:21.653545;17;169932;63671;51308;126426;524159;524159;-0.508;-0.371;0.777;60.0;0.0;0;0.0
08:32:21.755462;18;169962;63669;51304;126426;524159;524159;-0.507;-0.365;0.780;60.0;0.0;0;0.0
08:32:21.775452;19;169980;63664;51296;126415;524159;524159;-0.507;-0.360;0.781;60.0;0.0;0;0.0
08:32:21.785452;20;169992;63661;51294;126400;524159;524159;-0.508;-0.364;0.778;60.0;0.0;0;0.0
08:32:21.795451;21;170010;63657;51290;126394;524159;524159;-0.507;-0.368;0.780;60.0;0.0;0;0.0
08:32:21.795451;22;170034;63643;51282;126389;524159;524159;-0.507;-0.360;0.784;60.0;0.0;0;0.0
08:32:21.955433;23;170053;63646;51280;126383;524159;524159;-0.508;-0.365;0.777;60.0;0.0;0;0.0
08:32:21.965431;24;170055;116063;98342;126365;524159;524159;-0.508;-0.367;0.780;60.0;0.0;0;0.0
08:32:21.975432;25;170071;125339;100989;126354;524159;524159;-0.507;-0.365;0.777;60.0;0.0;0;0.0
08:32:21.985430;26;170092;125304;100986;126349;524159;524159;-0.508;-0.366;0.779;60.0;0.0;0;0.0
08:32:21.995430;27;170110;125276;100981;126342;524159;524159;-0.507;-0.365;0.781;60.0;0.0;0;0.0
08:32:22.161049;28;170133;125257;100976;126336;524159;524159;-0.507;-0.366;0.781;60.0;0.0;0;0.0
08:32:22.161049;29;170154;125235;100977;126335;524159;524159;-0.508;-0.365;0.779;60.0;0.0;0;0.0
08:32:22.178280;30;170172;125225;100969;126333;524159;524159;-0.507;-0.361;0.780;60.0;0.0;0;0.0
08:32:22.187273;31;170203;125217;100956;126342;524159;524159;-0.508;-0.364;0.783;60.0;0.0;0;0.0
08:32:22.192329;32;170224;125203;100961;126345;524159;524159;-0.507;-0.364;0.779;60.0;0.0;0;0.0
08:32:22.362313;33;170239;125201;100958;126345;524159;524159;-0.507;-0.362;0.779;60.0;0.0;0;0.0
08:32:22.362313;34;170266;125204;100952;126339;524159;524159;-0.507;-0.363;0.779;60.0;0.0;0;0.0
08:32:22.372311;35;170289;125200;100948;126348;524159;524159;-0.507;-0.367;0.782;60.0;0.0;0;0.0
08:32:22.382311;36;170300;128516;103671;126343;524159;524159;-0.507;-0.371;0.779;60.0;0.0;0;0.0
08:32:22.392308;37;170327;128455;103653;126340;524159;524159;-0.507;-0.367;0.782;60.0;0.0;0;0.0
08:32:22.552303;38;170341;128378;103611;126313;524159;524159;-0.507;-0.360;0.781;60.0;0.0;0;0.0
08:32:22.562291;39;170357;128358;103599;126293;524159;524159;-0.507;-0.365;0.776;60.0;0.0;0;0.0
08:32:22.572291;40;170366;128360;103601;126288;524159;524159;-0.507;-0.369;0.784;60.0;0.0;0;0.0
08:32:22.582291;41;170388;128350;103593;126290;524159;524159;-0.506;-0.362;0.784;60.0;0.0;0;0.0
08:32:22.592289;42;170402;128343;103583;126283;524159;524159;-0.507;-0.363;0.779;60.0;0.0;0;0.0
08:32:22.762270;43;170389;128347;103586;126261;524159;524159;-0.507;-0.369;0.777;60.0;0.0;0;0.0
08:32:22.772270;44;170376;128338;103570;126238;524159;524159;-0.507;-0.369;0.782;60.0;0.0;0;0.0
08:32:22.772270;45;170368;128313;103559;126227;524159;524159;-0.507;-0.365;0.778;60.0;0.0;0;0.0
08:32:22.782270;46;170360;128320;103557;126215;524159;524159;-0.507;-0.368;0.777;60.0;0.0;0;0.0
08:32:22.782270;47;170345;128312;103549;126206;524159;524159;-0.507;-0.369;0.776;60.0;0.0;0;0.0
