timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;accelX;accelY;accelZ;hr3;rr5;spo2
09:46:17.884250;0;105710;40613;31276;104496;104345;104395;-0.499;-0.496;0.746;60.0;0.0;0.0
09:46:17.887249;1;236691;40627;31276;234305;234273;234331;-0.480;-0.505;0.756;60.0;0.0;0.0
09:46:17.891250;2;276808;40633;31286;250026;365399;365452;-0.463;-0.524;0.744;60.0;0.0;0.0
09:46:17.894245;3;234359;40622;31289;206033;490580;490640;-0.452;-0.503;0.741;60.0;0.0;0.0
09:46:17.897243;4;193999;40618;31300;172936;521087;521087;-0.460;-0.486;0.755;60.0;0.0;0.0
09:46:17.900241;5;178702;40619;31279;158210;521087;521087;-0.469;-0.485;0.760;60.0;0.0;0.0
09:46:17.901544;6;174813;40614;31276;154710;521087;521087;-0.463;-0.499;0.750;60.0;0.0;0.0
09:46:17.909097;7;174696;40612;31266;154640;521087;521087;-0.462;-0.498;0.749;60.0;0.0;0.0
09:46:17.909097;8;174573;40606;31256;154585;521087;521087;-0.470;-0.495;0.750;60.0;0.0;0.0
09:46:17.909097;9;174460;40593;31243;154549;521087;521087;-0.478;-0.496;0.747;60.0;0.0;0.0
09:46:17.909097;10;174345;40587;31239;154517;521087;521087;-0.479;-0.498;0.747;60.0;0.0;0.0
09:46:17.919528;11;174258;40586;31235;154494;521087;521087;-0.475;-0.498;0.747;60.0;0.0;0.0
09:46:17.919528;12;174136;73784;59115;154423;521087;521087;-0.470;-0.499;0.749;60.0;0.0;0.0
09:46:17.925396;13;174052;79204;59656;154379;521087;521087;-0.468;-0.500;0.748;60.0;0.0;0.0
09:46:17.929428;14;173974;79191;59649;154340;521087;521087;-0.466;-0.499;0.749;60.0;0.0;0.0
09:46:17.929428;15;173912;79177;59645;154304;521087;521087;-0.467;-0.500;0.748;60.0;0.0;0.0
09:46:17.929428;16;173831;79151;59654;154272;521087;521087;-0.469;-0.500;0.747;60.0;0.0;0.0
09:46:17.939151;17;173738;79127;59636;154256;521087;521087;-0.465;-0.499;0.749;60.0;0.0;0.0
09:46:18.049233;18;173643;79110;59627;154239;521087;521087;-0.467;-0.502;0.749;60.0;0.0;0.0
09:46:18.059584;19;173551;79110;59631;154212;521087;521087;-0.467;-0.501;0.748;60.0;0.0;0.0
09:46:18.069535;20;173479;79092;59630;154206;521087;521087;-0.468;-0.500;0.750;60.0;0.0;0.0
09:46:18.069535;21;173414;79098;59636;154204;521087;521087;-0.467;-0.499;0.749;60.0;0.0;0.0
09:46:18.079482;22;173353;79098;59643;154186;521087;521087;-0.469;-0.500;0.747;60.0;0.0;0.0
09:46:18.259939;23;173292;79093;59631;154190;521087;521087;-0.468;-0.501;0.749;60.0;0.0;0.0
09:46:18.268935;24;173204;147890;111711;154159;521087;521087;-0.466;-0.499;0.748;60.0;0.0;0.0
09:46:18.273930;25;173150;158017;119431;154153;521087;521087;-0.468;-0.501;0.749;60.0;0.0;0.0
09:46:18.279527;26;173086;157967;119430;154130;521087;521087;-0.467;-0.500;0.748;60.0;0.0;0.0
09:46:18.279527;27;173044;157936;119442;154119;521087;521087;-0.465;-0.499;0.749;60.0;0.0;0.0
09:46:18.449443;28;173011;157910;119428;154104;521087;521087;-0.464;-0.500;0.748;60.0;0.0;0.0
09:46:18.469428;29;172983;157885;119436;154098;521087;521087;-0.466;-0.501;0.748;60.0;0.0;0.0
09:46:18.484489;30;172945;157867;119433;154092;521087;521087;-0.467;-0.500;0.750;60.0;0.0;0.0
09:46:18.484489;31;172929;157864;119433;154085;521087;521087;-0.464;-0.501;0.750;60.0;0.0;0.0
09:46:18.489511;32;172918;157848;119439;154067;521087;521087;-0.464;-0.500;0.749;60.0;0.0;0.0
09:46:18.649267;33;172886;157832;119427;154041;521087;521087;-0.466;-0.501;0.748;60.0;0.0;0.0
09:46:18.664250;34;172857;157807;119427;154026;521087;521087;-0.465;-0.500;0.747;60.0;0.0;0.0
09:46:18.679277;35;172788;157758;119400;153990;521087;521087;-0.463;-0.500;0.750;60.0;0.0;0.0
09:46:18.689606;36;172728;161977;122691;153980;521087;521087;-0.462;-0.500;0.749;60.0;0.0;0.0
09:46:18.689606;37;172667;161979;122687;153961;521087;521087;-0.463;-0.502;0.749;60.0;0.0;0.0
09:46:18.849481;38;172596;161959;122683;153941;521087;521087;-0.461;-0.500;0.750;60.0;0.0;0.0
09:46:18.859266;39;172540;161947;122683;153917;521087;521087;-0.459;-0.500;0.748;60.0;0.0;0.0
09:46:18.869166;40;172505;161939;122672;153905;521087;521087;-0.461;-0.501;0.749;60.0;0.0;0.0
09:46:18.869166;41;172445;161929;122675;153879;521087;521087;-0.462;-0.502;0.752;60.0;0.0;0.0
09:46:18.879388;42;172393;161920;122653;153860;521087;521087;-0.460;-0.498;0.751;60.0;0.0;0.0
09:46:19.059303;43;172337;161897;122643;153847;521087;521087;-0.462;-0.501;0.748;60.0;0.0;0.0
09:46:19.064310;44;172281;161902;122644;153819;521087;521087;-0.463;-0.502;0.750;60.0;0.0;0.0
09:46:19.074618;45;172233;161906;122638;153797;521087;521087;-0.460;-0.500;0.750;60.0;0.0;0.0
09:46:19.079150;46;172214;161920;122642;153787;521087;521087;-0.458;-0.500;0.748;60.0;0.0;0.0
09:46:19.079150;47;172183;161909;122643;153767;521087;521087;-0.461;-0.500;0.750;60.0;0.0;0.0
09:46:19.259221;48;172146;161918;122634;153744;521087;521087;-0.463;-0.499;0.750;60.0;0.0;0.0
09:46:19.264229;49;172129;161918;122621;153739;521087;521087;-0.460;-0.500;0.751;60.0;0.0;0.0
09:46:19.274293;50;172093;161921;122632;153712;521087;521087;-0.458;-0.500;0.750;60.0;0.0;0.0
09:46:19.279334;51;172082;161923;122624;153717;521087;521087;-0.462;-0.501;0.750;60.0;0.0;0.0
09:46:19.284340;52;172058;161932;122611;153693;521087;521087;-0.461;-0.501;0.750;60.0;0.0;0.0
09:46:19.449437;53;172049;161920;122610;153683;521087;521087;-0.461;-0.500;0.750;60.0;0.0;0.0
09:46:19.459097;54;172026;161926;122609;153667;521087;521087;-0.461;-0.500;0.750;60.0;0.0;0.0
09:46:19.469229;55;172014;161930;122603;153660;521087;521087;-0.460;-0.500;0.750;60.0;0.0;0.0
09:46:19.479152;56;172014;161937;122591;153650;521087;521087;-0.461;-0.500;0.749;60.0;0.0;0.0
09:46:19.479152;57;172000;161947;122593;153632;521087;521087;-0.462;-0.500;0.750;60.0;0.0;0.0
09:46:19.659286;58;171997;161967;122595;153617;521087;521087;-0.459;-0.499;0.751;60.0;0.0;0.0
09:46:19.664293;59;171992;161953;122578;153599;521087;521087;-0.459;-0.501;0.750;60.0;0.0;0.0
09:46:19.669357;60;171952;161889;122543;153567;521087;521087;-0.459;-0.501;0.750;60.0;0.0;0.0
09:46:19.679460;61;171890;161837;122502;153541;521087;521087;-0.459;-0.499;0.750;60.0;0.0;0.0
09:46:19.689498;62;171835;161825;122503;153523;521087;521087;-0.461;-0.502;0.749;60.0;0.0;0.0
