timestmp;smpleCnt;grnCnt;led2;led3;grn2Cnt;irCnt;redCnt;accelX;accelY;accelZ;hr3;rr5;rrsecure;spo2
09:46:01.575507;0;140250;35085;33184;139453;106621;106666;-0.403;-0.824;0.463;60.0;0.0;0;0.0
09:46:01.579505;1;271616;35078;33187;270054;237322;237371;-0.405;-0.819;0.463;60.0;0.0;0;0.0
09:46:01.583507;2;292274;35071;33197;271779;368510;368568;-0.405;-0.818;0.462;60.0;0.0;0;0.0
09:46:01.586613;3;240029;35073;33190;219819;493669;493714;-0.407;-0.826;0.463;60.0;0.0;0;0.0
09:46:01.586613;4;202808;35079;33205;180650;524159;524159;-0.405;-0.821;0.464;60.0;0.0;0;0.0
09:46:01.591690;5;183833;35074;33201;166641;524159;524159;-0.404;-0.823;0.465;60.0;0.0;0;0.0
09:46:01.591690;6;171820;35076;33199;155689;524159;524159;-0.402;-0.825;0.463;60.0;0.0;0;0.0
09:46:01.601373;7;171705;35076;33200;155552;524159;524159;-0.403;-0.829;0.464;60.0;0.0;0;0.0
09:46:01.606389;8;171559;35061;33191;155401;524159;524159;-0.402;-0.819;0.465;60.0;0.0;0;0.0
09:46:01.612472;9;171423;35045;33167;155264;524159;524159;-0.403;-0.822;0.461;60.0;0.0;0;0.0
09:46:01.613682;10;171305;35025;33149;155138;524159;524159;-0.405;-0.825;0.460;60.0;0.0;0;0.0
09:46:01.613682;11;171228;35018;33147;155038;524159;524159;-0.405;-0.822;0.461;60.0;0.0;0;0.0
09:46:01.623646;12;171136;66902;63423;154906;524159;524159;-0.404;-0.824;0.459;60.0;0.0;0;0.0
09:46:01.626643;13;171067;70023;65392;154807;524159;524159;-0.402;-0.826;0.461;60.0;0.0;0;0.0
09:46:01.629642;14;171012;70025;65390;154719;524159;524159;-0.403;-0.828;0.461;60.0;0.0;0;0.0
09:46:01.631640;15;170962;70013;65394;154629;524159;524159;-0.403;-0.825;0.460;60.0;0.0;0;0.0
09:46:01.634638;16;170922;70007;65399;154552;524159;524159;-0.402;-0.830;0.460;60.0;0.0;0;0.0
09:46:01.637638;17;170878;69992;65372;154468;524159;524159;-0.400;-0.834;0.458;60.0;0.0;0;0.0
09:46:01.741352;18;170840;69980;65358;154383;524159;524159;-0.400;-0.830;0.459;60.0;0.0;0;0.0
09:46:01.741352;19;170832;69957;65340;154329;524159;524159;-0.402;-0.834;0.457;60.0;0.0;0;0.0
09:46:01.751537;20;170812;69957;65339;154266;524159;524159;-0.402;-0.833;0.456;60.0;0.0;0;0.0
09:46:01.762117;21;170792;69963;65343;154200;524159;524159;-0.401;-0.837;0.457;60.0;0.0;0;0.0
09:46:01.762117;22;170683;69948;65351;154079;524159;524159;-0.402;-0.834;0.455;60.0;0.0;0;0.0
09:46:01.941603;23;170438;69936;65369;153860;524159;524159;-0.401;-0.828;0.453;60.0;0.0;0;0.0
09:46:01.946612;24;170171;122282;117793;153622;524159;524159;-0.401;-0.831;0.455;60.0;0.0;0;0.0
09:46:01.951677;25;169954;137537;128599;153408;524159;524159;-0.401;-0.838;0.456;60.0;0.0;0;0.0
09:46:01.962108;26;169769;137479;128599;153219;524159;524159;-0.401;-0.841;0.455;60.0;0.0;0;0.0
09:46:01.971596;27;169587;137423;128568;153035;524159;524159;-0.399;-0.835;0.456;60.0;0.0;0;0.0
09:46:02.141831;28;169444;137366;128524;152867;524159;524159;-0.400;-0.832;0.453;60.0;0.0;0;0.0
09:46:02.146337;29;169306;137321;128486;152711;524159;524159;-0.401;-0.837;0.455;60.0;0.0;0;0.0
09:46:02.151364;30;169175;137303;128479;152557;524159;524159;-0.400;-0.838;0.458;60.0;0.0;0;0.0
09:46:02.162494;31;169040;137255;128437;152387;524159;524159;-0.400;-0.832;0.454;60.0;0.0;0;0.0
09:46:02.162494;32;168919;137210;128388;152245;524159;524159;-0.401;-0.835;0.454;60.0;0.0;0;0.0
09:46:02.341618;33;168813;137184;128349;152109;524159;524159;-0.400;-0.835;0.454;60.0;0.0;0;0.0
09:46:02.356562;34;168738;137146;128302;151999;524159;524159;-0.400;-0.833;0.458;60.0;0.0;0;0.0
09:46:02.361598;35;168659;137114;128254;151899;524159;524159;-0.400;-0.835;0.455;60.0;0.0;0;0.0
09:46:02.362614;36;168588;140786;131676;151787;524159;524159;-0.400;-0.835;0.456;60.0;0.0;0;0.0
09:46:02.371632;37;168543;140784;131640;151718;524159;524159;-0.400;-0.836;0.455;60.0;0.0;0;0.0
09:46:02.541546;38;168500;140744;131583;151639;524159;524159;-0.400;-0.834;0.455;60.0;0.0;0;0.0
09:46:02.541546;39;168448;140676;131516;151549;524159;524159;-0.400;-0.834;0.456;60.0;0.0;0;0.0
